delta,transformedValue,naturalValue,loss
0.295,0.7399315,0.7399315,1.0523373
0.29749998,0.7424315,0.7424315,1.0595211
0.29999998,0.7449315,0.7449315,1.0641427
0.30250004,0.7474316,0.7474316,1.0660145
0.30500004,0.7499316,0.7499316,1.063724
0.30749997,0.7524315,0.7524315,1.0608838
0.30999997,0.7549315,0.7549315,1.0592685
0.31250003,0.75743157,0.75743157,1.0602454
0.31500003,0.75993156,0.75993156,1.0628285
0.31750003,0.76243156,0.76243156,1.0653805
0.31999996,0.7649315,0.7649315,1.0671381
0.32250002,0.76743156,0.76743156,1.0679095
0.32500002,0.76993155,0.76993155,1.0679442
0.32750002,0.77243155,0.77243155,1.0685505
0.33,0.77493155,0.77493155,1.0700006
0.3325,0.77743155,0.77743155,1.0730839
0.335,0.77993155,0.77993155,1.0796267
0.3375,0.78243154,0.78243154,1.0856403
0.34,0.78493154,0.78493154,1.0912372
0.3425,0.78743154,0.78743154,1.0950959
0.345,0.78993154,0.78993154,1.0977371
0.3475,0.79243153,0.79243153,1.1009811
0.35,0.79493153,0.79493153,1.1045445
0.3525,0.7974315,0.7974315,1.1092383
0.35500005,0.7999316,0.7999316,1.1123481
0.3575,0.8024315,0.8024315,1.1163307
0.35999998,0.8049315,0.8049315,1.1195115
0.36249998,0.8074315,0.8074315,1.1247041
0.36500004,0.8099316,0.8099316,1.1309975
0.36750004,0.8124316,0.8124316,1.1384869
0.36999997,0.8149315,0.8149315,1.1461813
0.37249997,0.8174315,0.8174315,1.1525866
0.37500003,0.81993157,0.81993157,1.1604847
0.37750003,0.82243156,0.82243156,1.171251
0.38000003,0.82493156,0.82493156,1.1818683
0.38249996,0.8274315,0.8274315,1.1934631
0.38500002,0.82993156,0.82993156,1.2055364
0.38750002,0.83243155,0.83243155,1.2177061
0.39000002,0.83493155,0.83493155,1.2300069
0.3925,0.83743155,0.83743155,1.2434328
0.395,0.83993155,0.83993155,1.2593399
0.3975,0.84243155,0.84243155,1.2777792
0.4,0.84493154,0.84493154,1.2966542
