delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-1.375,-0.2626598,0.76900345,-0.30625,0.36162195,0.36162195,4.3718004
-1.375,-0.2626598,0.76900345,-0.284375,0.38349694,0.38349694,4.3772974
-1.375,-0.2626598,0.76900345,-0.2625,0.40537196,0.40537196,4.38479
-1.375,-0.2626598,0.76900345,-0.240625,0.42724696,0.42724696,4.3630447
-1.375,-0.2626598,0.76900345,-0.21875,0.44912195,0.44912195,4.3331594
-1.375,-0.2626598,0.76900345,-0.19687499,0.47099698,0.47099698,4.2903886
-1.375,-0.2626598,0.76900345,-0.175,0.49287194,0.49287194,4.217749
-1.375,-0.2626598,0.76900345,-0.153125,0.51474696,0.51474696,4.1237283
-1.375,-0.2626598,0.76900345,-0.13125,0.5366219,0.5366219,4.012185
-1.375,-0.2626598,0.76900345,-0.109375,0.55849695,0.55849695,3.8921807
-1.375,-0.2626598,0.76900345,-0.087500006,0.580372,0.580372,3.7653902
-1.375,-0.2626598,0.76900345,-0.06562501,0.60224694,0.60224694,3.6397936
-1.375,-0.2626598,0.76900345,-0.043749988,0.62412196,0.62412196,3.522846
-1.375,-0.2626598,0.76900345,-0.021874994,0.6459969,0.6459969,3.3967757
-1.375,-0.2626598,0.76900345,0.0,0.66787195,0.66787195,3.264581
-1.375,-0.2626598,0.76900345,0.021874994,0.689747,0.689747,3.140837
-1.375,-0.2626598,0.76900345,0.043749988,0.71162194,0.71162194,3.0227897
-1.375,-0.2626598,0.76900345,0.06562501,0.73349696,0.73349696,2.9053257
-1.375,-0.2626598,0.76900345,0.087500006,0.7553719,0.7553719,2.7840855
-1.375,-0.2626598,0.76900345,0.109375,0.77724695,0.77724695,2.6756086
-1.375,-0.2626598,0.76900345,0.13125,0.799122,0.799122,2.5654871
-1.375,-0.2626598,0.76900345,0.15312502,0.820997,0.820997,2.454807
-1.375,-0.2626598,0.76900345,0.17499998,0.8428719,0.8428719,2.3399663
-1.375,-0.2626598,0.76900345,0.196875,0.8647469,0.8647469,2.2394404
-1.375,-0.2626598,0.76900345,0.21874997,0.88662195,0.88662195,2.1432357
-1.375,-0.2626598,0.76900345,0.240625,0.908497,0.908497,2.0506263
-1.375,-0.2626598,0.76900345,0.26250002,0.930372,0.930372,1.9657204
-1.375,-0.2626598,0.76900345,0.28437498,0.9522469,0.9522469,1.8864706
-1.375,-0.2626598,0.76900345,0.30625,0.9741219,0.9741219,1.8106236
