delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-1.375,-0.2626598,0.76900345,-0.328125,0.33974695,0.33974695,4.352729
-1.375,-0.2626598,0.76900345,-0.30625,0.36162195,0.36162195,4.4000244
-1.375,-0.2626598,0.76900345,-0.284375,0.38349694,0.38349694,4.406437
-1.375,-0.2626598,0.76900345,-0.2625,0.40537196,0.40537196,4.4056244
-1.375,-0.2626598,0.76900345,-0.240625,0.42724696,0.42724696,4.387638
-1.375,-0.2626598,0.76900345,-0.21875,0.44912195,0.44912195,4.3495083
-1.375,-0.2626598,0.76900345,-0.19687499,0.47099698,0.47099698,4.2892704
-1.375,-0.2626598,0.76900345,-0.175,0.49287194,0.49287194,4.209915
-1.375,-0.2626598,0.76900345,-0.153125,0.51474696,0.51474696,4.1128364
-1.375,-0.2626598,0.76900345,-0.13125,0.5366219,0.5366219,4.0067177
-1.375,-0.2626598,0.76900345,-0.109375,0.55849695,0.55849695,3.8825781
-1.375,-0.2626598,0.76900345,-0.087500006,0.580372,0.580372,3.7438931
-1.375,-0.2626598,0.76900345,-0.06562501,0.60224694,0.60224694,3.600545
-1.375,-0.2626598,0.76900345,-0.043749988,0.62412196,0.62412196,3.4628272
-1.375,-0.2626598,0.76900345,-0.021874994,0.6459969,0.6459969,3.3417852
-1.375,-0.2626598,0.76900345,0.0,0.66787195,0.66787195,3.2240171
-1.375,-0.2626598,0.76900345,0.021874994,0.689747,0.689747,3.1024394
-1.375,-0.2626598,0.76900345,0.043749988,0.71162194,0.71162194,2.9745123
-1.375,-0.2626598,0.76900345,0.06562501,0.73349696,0.73349696,2.8487873
-1.375,-0.2626598,0.76900345,0.087500006,0.7553719,0.7553719,2.7286499
-1.375,-0.2626598,0.76900345,0.109375,0.77724695,0.77724695,2.602033
-1.375,-0.2626598,0.76900345,0.13125,0.799122,0.799122,2.4817786
-1.375,-0.2626598,0.76900345,0.15312502,0.820997,0.820997,2.365465
-1.375,-0.2626598,0.76900345,0.17499998,0.8428719,0.8428719,2.2617078
-1.375,-0.2626598,0.76900345,0.196875,0.8647469,0.8647469,2.1636155
-1.375,-0.2626598,0.76900345,0.21874997,0.88662195,0.88662195,2.0607986
-1.375,-0.2626598,0.76900345,0.240625,0.908497,0.908497,1.9572177
-1.375,-0.2626598,0.76900345,0.26250002,0.930372,0.930372,1.8611193
-1.375,-0.2626598,0.76900345,0.28437498,0.9522469,0.9522469,1.776298
-1.375,-0.2626598,0.76900345,0.30625,0.9741219,0.9741219,1.6966277
-1.375,-0.2626598,0.76900345,0.32812497,0.99599695,0.99599695,1.6253998
-1.375,-0.2626598,0.76900345,0.35,1.017872,1.017872,1.5636891
-1.25,-0.13765979,0.8713951,-0.35,0.31787196,0.31787196,4.219932
-1.25,-0.13765979,0.8713951,-0.328125,0.33974695,0.33974695,4.3570476
-1.25,-0.13765979,0.8713951,-0.30625,0.36162195,0.36162195,4.396482
-1.25,-0.13765979,0.8713951,-0.284375,0.38349694,0.38349694,4.4063416
-1.25,-0.13765979,0.8713951,-0.2625,0.40537196,0.40537196,4.397906
-1.25,-0.13765979,0.8713951,-0.240625,0.42724696,0.42724696,4.376187
-1.25,-0.13765979,0.8713951,-0.21875,0.44912195,0.44912195,4.322443
-1.25,-0.13765979,0.8713951,-0.19687499,0.47099698,0.47099698,4.243147
-1.25,-0.13765979,0.8713951,-0.175,0.49287194,0.49287194,4.141757
-1.25,-0.13765979,0.8713951,-0.153125,0.51474696,0.51474696,4.0288987
-1.25,-0.13765979,0.8713951,-0.13125,0.5366219,0.5366219,3.8806055
-1.25,-0.13765979,0.8713951,-0.109375,0.55849695,0.55849695,3.7295575
-1.25,-0.13765979,0.8713951,-0.087500006,0.580372,0.580372,3.5749497
-1.25,-0.13765979,0.8713951,-0.06562501,0.60224694,0.60224694,3.420665
-1.25,-0.13765979,0.8713951,-0.043749988,0.62412196,0.62412196,3.278866
-1.25,-0.13765979,0.8713951,-0.021874994,0.6459969,0.6459969,3.149283
-1.25,-0.13765979,0.8713951,0.0,0.66787195,0.66787195,3.0133104
-1.25,-0.13765979,0.8713951,0.021874994,0.689747,0.689747,2.8711946
-1.25,-0.13765979,0.8713951,0.043749988,0.71162194,0.71162194,2.7318287
-1.25,-0.13765979,0.8713951,0.06562501,0.73349696,0.73349696,2.5978706
-1.25,-0.13765979,0.8713951,0.087500006,0.7553719,0.7553719,2.462799
-1.25,-0.13765979,0.8713951,0.109375,0.77724695,0.77724695,2.3380978
-1.25,-0.13765979,0.8713951,0.13125,0.799122,0.799122,2.2204738
-1.25,-0.13765979,0.8713951,0.15312502,0.820997,0.820997,2.106229
-1.25,-0.13765979,0.8713951,0.17499998,0.8428719,0.8428719,1.992193
-1.25,-0.13765979,0.8713951,0.196875,0.8647469,0.8647469,1.8845931
-1.25,-0.13765979,0.8713951,0.21874997,0.88662195,0.88662195,1.7843186
-1.25,-0.13765979,0.8713951,0.240625,0.908497,0.908497,1.687776
-1.25,-0.13765979,0.8713951,0.26250002,0.930372,0.930372,1.6015376
-1.25,-0.13765979,0.8713951,0.28437498,0.9522469,0.9522469,1.5242653
-1.25,-0.13765979,0.8713951,0.30625,0.9741219,0.9741219,1.4558977
-1.25,-0.13765979,0.8713951,0.32812497,0.99599695,0.99599695,1.3917205
-1.25,-0.13765979,0.8713951,0.35,1.017872,1.017872,1.3289241
-1.125,-0.012659788,0.98742,-0.35,0.31787196,0.31787196,4.173844
-1.125,-0.012659788,0.98742,-0.328125,0.33974695,0.33974695,4.3625655
-1.125,-0.012659788,0.98742,-0.30625,0.36162195,0.36162195,4.392043
-1.125,-0.012659788,0.98742,-0.284375,0.38349694,0.38349694,4.396784
-1.125,-0.012659788,0.98742,-0.2625,0.40537196,0.40537196,4.3929567
-1.125,-0.012659788,0.98742,-0.240625,0.42724696,0.42724696,4.357487
-1.125,-0.012659788,0.98742,-0.21875,0.44912195,0.44912195,4.2844496
-1.125,-0.012659788,0.98742,-0.19687499,0.47099698,0.47099698,4.1799893
-1.125,-0.012659788,0.98742,-0.175,0.49287194,0.49287194,4.0593295
-1.125,-0.012659788,0.98742,-0.153125,0.51474696,0.51474696,3.9030583
-1.125,-0.012659788,0.98742,-0.13125,0.5366219,0.5366219,3.7377536
-1.125,-0.012659788,0.98742,-0.109375,0.55849695,0.55849695,3.5734465
-1.125,-0.012659788,0.98742,-0.087500006,0.580372,0.580372,3.400204
-1.125,-0.012659788,0.98742,-0.06562501,0.60224694,0.60224694,3.2291484
-1.125,-0.012659788,0.98742,-0.043749988,0.62412196,0.62412196,3.0879211
-1.125,-0.012659788,0.98742,-0.021874994,0.6459969,0.6459969,2.9362826
-1.125,-0.012659788,0.98742,0.0,0.66787195,0.66787195,2.7810078
-1.125,-0.012659788,0.98742,0.021874994,0.689747,0.689747,2.6285245
-1.125,-0.012659788,0.98742,0.043749988,0.71162194,0.71162194,2.4859195
-1.125,-0.012659788,0.98742,0.06562501,0.73349696,0.73349696,2.3488584
-1.125,-0.012659788,0.98742,0.087500006,0.7553719,0.7553719,2.2156017
-1.125,-0.012659788,0.98742,0.109375,0.77724695,0.77724695,2.0805228
-1.125,-0.012659788,0.98742,0.13125,0.799122,0.799122,1.9590913
-1.125,-0.012659788,0.98742,0.15312502,0.820997,0.820997,1.8453326
-1.125,-0.012659788,0.98742,0.17499998,0.8428719,0.8428719,1.7363706
-1.125,-0.012659788,0.98742,0.196875,0.8647469,0.8647469,1.6306584
-1.125,-0.012659788,0.98742,0.21874997,0.88662195,0.88662195,1.5292387
-1.125,-0.012659788,0.98742,0.240625,0.908497,0.908497,1.4375498
-1.125,-0.012659788,0.98742,0.26250002,0.930372,0.930372,1.3524858
-1.125,-0.012659788,0.98742,0.28437498,0.9522469,0.9522469,1.277317
-1.125,-0.012659788,0.98742,0.30625,0.9741219,0.9741219,1.207722
-1.125,-0.012659788,0.98742,0.32812497,0.99599695,0.99599695,1.139716
-1.125,-0.012659788,0.98742,0.35,1.017872,1.017872,1.078352
-1.0,0.11234021,1.1188935,-0.35,0.31787196,0.31787196,4.1499968
-1.0,0.11234021,1.1188935,-0.328125,0.33974695,0.33974695,4.3669615
-1.0,0.11234021,1.1188935,-0.30625,0.36162195,0.36162195,4.3877783
-1.0,0.11234021,1.1188935,-0.284375,0.38349694,0.38349694,4.3920183
-1.0,0.11234021,1.1188935,-0.2625,0.40537196,0.40537196,4.3844047
-1.0,0.11234021,1.1188935,-0.240625,0.42724696,0.42724696,4.326267
-1.0,0.11234021,1.1188935,-0.21875,0.44912195,0.44912195,4.223315
-1.0,0.11234021,1.1188935,-0.19687499,0.47099698,0.47099698,4.1028066
-1.0,0.11234021,1.1188935,-0.175,0.49287194,0.49287194,3.9481127
-1.0,0.11234021,1.1188935,-0.153125,0.51474696,0.51474696,3.7752516
-1.0,0.11234021,1.1188935,-0.13125,0.5366219,0.5366219,3.5898795
-1.0,0.11234021,1.1188935,-0.109375,0.55849695,0.55849695,3.403776
-1.0,0.11234021,1.1188935,-0.087500006,0.580372,0.580372,3.2237415
-1.0,0.11234021,1.1188935,-0.06562501,0.60224694,0.60224694,3.0392234
-1.0,0.11234021,1.1188935,-0.043749988,0.62412196,0.62412196,2.8769188
-1.0,0.11234021,1.1188935,-0.021874994,0.6459969,0.6459969,2.7166247
-1.0,0.11234021,1.1188935,0.0,0.66787195,0.66787195,2.5528994
-1.0,0.11234021,1.1188935,0.021874994,0.689747,0.689747,2.3933997
-1.0,0.11234021,1.1188935,0.043749988,0.71162194,0.71162194,2.2465293
-1.0,0.11234021,1.1188935,0.06562501,0.73349696,0.73349696,2.1073873
-1.0,0.11234021,1.1188935,0.087500006,0.7553719,0.7553719,1.9684623
-1.0,0.11234021,1.1188935,0.109375,0.77724695,0.77724695,1.8361881
-1.0,0.11234021,1.1188935,0.13125,0.799122,0.799122,1.7090714
-1.0,0.11234021,1.1188935,0.15312502,0.820997,0.820997,1.5892118
-1.0,0.11234021,1.1188935,0.17499998,0.8428719,0.8428719,1.4793831
-1.0,0.11234021,1.1188935,0.196875,0.8647469,0.8647469,1.371238
-1.0,0.11234021,1.1188935,0.21874997,0.88662195,0.88662195,1.274623
-1.0,0.11234021,1.1188935,0.240625,0.908497,0.908497,1.184862
-1.0,0.11234021,1.1188935,0.26250002,0.930372,0.930372,1.0929489
-1.0,0.11234021,1.1188935,0.28437498,0.9522469,0.9522469,1.0012099
-1.0,0.11234021,1.1188935,0.30625,0.9741219,0.9741219,0.90975666
-1.0,0.11234021,1.1188935,0.32812497,0.99599695,0.99599695,0.83329254
-1.0,0.11234021,1.1188935,0.35,1.017872,1.017872,0.7818335
-0.875,0.23734021,1.2678723,-0.35,0.31787196,0.31787196,4.158045
-0.875,0.23734021,1.2678723,-0.328125,0.33974695,0.33974695,4.3688393
-0.875,0.23734021,1.2678723,-0.30625,0.36162195,0.36162195,4.38984
-0.875,0.23734021,1.2678723,-0.284375,0.38349694,0.38349694,4.3877873
-0.875,0.23734021,1.2678723,-0.2625,0.40537196,0.40537196,4.3580527
-0.875,0.23734021,1.2678723,-0.240625,0.42724696,0.42724696,4.272018
-0.875,0.23734021,1.2678723,-0.21875,0.44912195,0.44912195,4.1591363
-0.875,0.23734021,1.2678723,-0.19687499,0.47099698,0.47099698,4.0105205
-0.875,0.23734021,1.2678723,-0.175,0.49287194,0.49287194,3.8323982
-0.875,0.23734021,1.2678723,-0.153125,0.51474696,0.51474696,3.6318004
-0.875,0.23734021,1.2678723,-0.13125,0.5366219,0.5366219,3.441864
-0.875,0.23734021,1.2678723,-0.109375,0.55849695,0.55849695,3.24495
-0.875,0.23734021,1.2678723,-0.087500006,0.580372,0.580372,3.0418334
-0.875,0.23734021,1.2678723,-0.06562501,0.60224694,0.60224694,2.8411849
-0.875,0.23734021,1.2678723,-0.043749988,0.62412196,0.62412196,2.6660516
-0.875,0.23734021,1.2678723,-0.021874994,0.6459969,0.6459969,2.497909
-0.875,0.23734021,1.2678723,0.0,0.66787195,0.66787195,2.3307946
-0.875,0.23734021,1.2678723,0.021874994,0.689747,0.689747,2.1675808
-0.875,0.23734021,1.2678723,0.043749988,0.71162194,0.71162194,2.0106356
-0.875,0.23734021,1.2678723,0.06562501,0.73349696,0.73349696,1.8629098
-0.875,0.23734021,1.2678723,0.087500006,0.7553719,0.7553719,1.7223403
-0.875,0.23734021,1.2678723,0.109375,0.77724695,0.77724695,1.5896988
-0.875,0.23734021,1.2678723,0.13125,0.799122,0.799122,1.4630572
-0.875,0.23734021,1.2678723,0.15312502,0.820997,0.820997,1.3400048
-0.875,0.23734021,1.2678723,0.17499998,0.8428719,0.8428719,1.2222089
-0.875,0.23734021,1.2678723,0.196875,0.8647469,0.8647469,1.1036041
-0.875,0.23734021,1.2678723,0.21874997,0.88662195,0.88662195,0.97788495
-0.875,0.23734021,1.2678723,0.240625,0.908497,0.908497,0.8446062
-0.875,0.23734021,1.2678723,0.26250002,0.930372,0.930372,0.72796994
-0.875,0.23734021,1.2678723,0.28437498,0.9522469,0.9522469,0.64952666
-0.875,0.23734021,1.2678723,0.30625,0.9741219,0.9741219,0.64979327
-0.875,0.23734021,1.2678723,0.32812497,0.99599695,0.99599695,0.74050754
-0.875,0.23734021,1.2678723,0.35,1.017872,1.017872,0.8938288
-0.75,0.3623402,1.4366876,-0.35,0.31787196,0.31787196,4.183765
-0.75,0.3623402,1.4366876,-0.328125,0.33974695,0.33974695,4.36885
-0.75,0.3623402,1.4366876,-0.30625,0.36162195,0.36162195,4.386176
-0.75,0.3623402,1.4366876,-0.284375,0.38349694,0.38349694,4.3827257
-0.75,0.3623402,1.4366876,-0.2625,0.40537196,0.40537196,4.322029
-0.75,0.3623402,1.4366876,-0.240625,0.42724696,0.42724696,4.2301965
-0.75,0.3623402,1.4366876,-0.21875,0.44912195,0.44912195,4.0925655
-0.75,0.3623402,1.4366876,-0.19687499,0.47099698,0.47099698,3.9084277
-0.75,0.3623402,1.4366876,-0.175,0.49287194,0.49287194,3.7112784
-0.75,0.3623402,1.4366876,-0.153125,0.51474696,0.51474696,3.4993682
