delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,delta3,transformedValue3,naturalValue3,loss
-0.5,-0.22833744,-0.22833744,-0.235,0.056253597,0.056253597,0.25,-0.25629002,0.7739175,5.791313
-0.5,-0.22833744,-0.22833744,-0.235,0.056253597,0.056253597,0.5,-0.0062900186,0.9937297,6.9901385
-0.5,-0.22833744,-0.22833744,-0.235,0.056253597,0.056253597,0.75,0.24370998,1.2759743,8.308212
-0.5,-0.22833744,-0.22833744,-0.235,0.056253597,0.056253597,1.0,0.49370998,1.6383834,9.758409
-0.5,-0.22833744,-0.22833744,-0.2203125,0.07094109,0.07094109,-1.0,-1.50629,0.22173108,1.6561329
-0.5,-0.22833744,-0.22833744,-0.2203125,0.07094109,0.07094109,-0.75,-1.25629,0.28470835,2.188229
-0.5,-0.22833744,-0.22833744,-0.2203125,0.07094109,0.07094109,-0.5,-1.00629,0.36557275,2.8479698
-0.5,-0.22833744,-0.22833744,-0.2203125,0.07094109,0.07094109,-0.25,-0.75629,0.4694047,3.6740227
-0.5,-0.22833744,-0.22833744,-0.2203125,0.07094109,0.07094109,0.0,-0.50629,0.60272753,4.6662583
-0.5,-0.22833744,-0.22833744,-0.2203125,0.07094109,0.07094109,0.25,-0.25629002,0.7739175,5.760454
-0.5,-0.22833744,-0.22833744,-0.2203125,0.07094109,0.07094109,0.5,-0.0062900186,0.9937297,6.9613786
-0.5,-0.22833744,-0.22833744,-0.2203125,0.07094109,0.07094109,0.75,0.24370998,1.2759743,8.278854
-0.5,-0.22833744,-0.22833744,-0.2203125,0.07094109,0.07094109,1.0,0.49370998,1.6383834,9.726534
-0.5,-0.22833744,-0.22833744,-0.205625,0.0856286,0.0856286,-1.0,-1.50629,0.22173108,1.6222447
-0.5,-0.22833744,-0.22833744,-0.205625,0.0856286,0.0856286,-0.75,-1.25629,0.28470835,2.1877434
-0.5,-0.22833744,-0.22833744,-0.205625,0.0856286,0.0856286,-0.5,-1.00629,0.36557275,2.8724937
-0.5,-0.22833744,-0.22833744,-0.205625,0.0856286,0.0856286,-0.25,-0.75629,0.4694047,3.7204397
-0.5,-0.22833744,-0.22833744,-0.205625,0.0856286,0.0856286,0.0,-0.50629,0.60272753,4.7319336
-0.5,-0.22833744,-0.22833744,-0.205625,0.0856286,0.0856286,0.25,-0.25629002,0.7739175,5.843952
-0.5,-0.22833744,-0.22833744,-0.205625,0.0856286,0.0856286,0.5,-0.0062900186,0.9937297,7.0614104
-0.5,-0.22833744,-0.22833744,-0.205625,0.0856286,0.0856286,0.75,0.24370998,1.2759743,8.394246
-0.5,-0.22833744,-0.22833744,-0.205625,0.0856286,0.0856286,1.0,0.49370998,1.6383834,9.8558855
