delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-0.4375,-0.16583744,-0.16583744,0.24968752,0.5409411,0.5409411,6.162436
-0.4375,-0.16583744,-0.16583744,0.264375,0.5556286,0.5556286,6.1612353
-0.4375,-0.16583744,-0.16583744,0.27906248,0.5703161,0.5703161,6.115576
-0.4375,-0.16583744,-0.16583744,0.29375002,0.5850036,0.5850036,6.0449286
-0.4375,-0.16583744,-0.16583744,0.3084375,0.5996911,0.5996911,6.0374393
-0.4375,-0.16583744,-0.16583744,0.32312497,0.6143786,0.6143786,6.015409
-0.4375,-0.16583744,-0.16583744,0.3378125,0.6290661,0.6290661,6.0077667
-0.4375,-0.16583744,-0.16583744,0.3525,0.6437536,0.6437536,5.969653
-0.4375,-0.16583744,-0.16583744,0.36718747,0.65844107,0.65844107,5.91714
-0.4375,-0.16583744,-0.16583744,0.381875,0.6731286,0.6731286,5.896354
-0.4375,-0.16583744,-0.16583744,0.3965625,0.6878161,0.6878161,5.8690314
-0.4375,-0.16583744,-0.16583744,0.41125003,0.7025036,0.7025036,5.7864103
-0.4375,-0.16583744,-0.16583744,0.4259375,0.7171911,0.7171911,5.7493014
-0.4375,-0.16583744,-0.16583744,0.44062498,0.7318786,0.7318786,5.6643047
-0.4375,-0.16583744,-0.16583744,0.45531252,0.7465661,0.7465661,5.6009755
-0.4375,-0.16583744,-0.16583744,0.47,0.7612536,0.7612536,5.5136228
-0.375,-0.10333744,-0.10333744,-0.47,-0.1787464,-0.1787464,3.9933968
-0.375,-0.10333744,-0.10333744,-0.4553125,-0.1640589,-0.1640589,3.9933968
-0.375,-0.10333744,-0.10333744,-0.440625,-0.14937142,-0.14937142,3.9933968
-0.375,-0.10333744,-0.10333744,-0.4259375,-0.1346839,-0.1346839,3.9933968
-0.375,-0.10333744,-0.10333744,-0.41125,-0.1199964,-0.1199964,3.9933968
-0.375,-0.10333744,-0.10333744,-0.39656252,-0.10530892,-0.10530892,3.9933968
-0.375,-0.10333744,-0.10333744,-0.381875,-0.09062141,-0.09062141,3.9933968
-0.375,-0.10333744,-0.10333744,-0.3671875,-0.0759339,-0.0759339,3.9933968
-0.375,-0.10333744,-0.10333744,-0.3525,-0.061246395,-0.061246395,3.9933968
-0.375,-0.10333744,-0.10333744,-0.33781248,-0.046558887,-0.046558887,3.9933968
-0.375,-0.10333744,-0.10333744,-0.323125,-0.03187141,-0.03187141,3.9933968
-0.375,-0.10333744,-0.10333744,-0.3084375,-0.0171839,-0.0171839,3.9933968
-0.375,-0.10333744,-0.10333744,-0.29375,-0.0024963915,-0.0024963915,3.9933968
-0.375,-0.10333744,-0.10333744,-0.2790625,0.012191087,0.012191087,3.9864523
-0.375,-0.10333744,-0.10333744,-0.264375,0.026878595,0.026878595,4.029385
-0.375,-0.10333744,-0.10333744,-0.2496875,0.041566104,0.041566104,4.082153
-0.375,-0.10333744,-0.10333744,-0.235,0.056253597,0.056253597,4.1007586
-0.375,-0.10333744,-0.10333744,-0.2203125,0.07094109,0.07094109,4.1203895
-0.375,-0.10333744,-0.10333744,-0.205625,0.0856286,0.0856286,4.182604
-0.375,-0.10333744,-0.10333744,-0.19093749,0.10031611,0.10031611,4.22564
-0.375,-0.10333744,-0.10333744,-0.17625001,0.115003586,0.115003586,4.2213545
-0.375,-0.10333744,-0.10333744,-0.1615625,0.1296911,0.1296911,4.226041
-0.375,-0.10333744,-0.10333744,-0.146875,0.1443786,0.1443786,4.2218337
-0.375,-0.10333744,-0.10333744,-0.13218749,0.15906611,0.15906611,4.3374267
-0.375,-0.10333744,-0.10333744,-0.11750001,0.17375359,0.17375359,4.327191
-0.375,-0.10333744,-0.10333744,-0.1028125,0.1884411,0.1884411,4.400098
-0.375,-0.10333744,-0.10333744,-0.08812499,0.2031286,0.2031286,4.456525
-0.375,-0.10333744,-0.10333744,-0.07343751,0.21781608,0.21781608,4.4781885
-0.375,-0.10333744,-0.10333744,-0.058750004,0.2325036,0.2325036,4.536611
-0.375,-0.10333744,-0.10333744,-0.044062495,0.2471911,0.2471911,4.615973
-0.375,-0.10333744,-0.10333744,-0.029374987,0.2618786,0.2618786,4.707475
-0.375,-0.10333744,-0.10333744,-0.014687508,0.2765661,0.2765661,4.7904973
-0.375,-0.10333744,-0.10333744,0.0,0.2912536,0.2912536,4.842576
-0.375,-0.10333744,-0.10333744,0.014687508,0.3059411,0.3059411,4.917382
-0.375,-0.10333744,-0.10333744,0.029374987,0.32062858,0.32062858,4.974713
-0.375,-0.10333744,-0.10333744,0.044062525,0.33531612,0.33531612,4.979657
-0.375,-0.10333744,-0.10333744,0.058750004,0.3500036,0.3500036,5.0509315
-0.375,-0.10333744,-0.10333744,0.07343748,0.36469108,0.36469108,5.1180606
-0.375,-0.10333744,-0.10333744,0.08812502,0.37937862,0.37937862,5.1339417
-0.375,-0.10333744,-0.10333744,0.1028125,0.3940661,0.3940661,5.126319
-0.375,-0.10333744,-0.10333744,0.11749998,0.40875357,0.40875357,5.1869884
-0.375,-0.10333744,-0.10333744,0.13218752,0.4234411,0.4234411,5.189204
-0.375,-0.10333744,-0.10333744,0.146875,0.4381286,0.4381286,5.1824613
-0.375,-0.10333744,-0.10333744,0.16156247,0.45281607,0.45281607,5.2274604
-0.375,-0.10333744,-0.10333744,0.17625001,0.4675036,0.4675036,5.228547
-0.375,-0.10333744,-0.10333744,0.19093749,0.4821911,0.4821911,5.2081947
-0.375,-0.10333744,-0.10333744,0.20562503,0.49687862,0.49687862,5.2585664
-0.375,-0.10333744,-0.10333744,0.2203125,0.5115661,0.5115661,5.21269
-0.375,-0.10333744,-0.10333744,0.23499998,0.5262536,0.5262536,5.227877
-0.375,-0.10333744,-0.10333744,0.24968752,0.5409411,0.5409411,5.231009
-0.375,-0.10333744,-0.10333744,0.264375,0.5556286,0.5556286,5.187974
-0.375,-0.10333744,-0.10333744,0.27906248,0.5703161,0.5703161,5.172056
-0.375,-0.10333744,-0.10333744,0.29375002,0.5850036,0.5850036,5.1052957
-0.375,-0.10333744,-0.10333744,0.3084375,0.5996911,0.5996911,5.1245584
-0.375,-0.10333744,-0.10333744,0.32312497,0.6143786,0.6143786,5.082313
-0.375,-0.10333744,-0.10333744,0.3378125,0.6290661,0.6290661,5.0647407
-0.375,-0.10333744,-0.10333744,0.3525,0.6437536,0.6437536,5.0427475
-0.375,-0.10333744,-0.10333744,0.36718747,0.65844107,0.65844107,5.0186205
-0.375,-0.10333744,-0.10333744,0.381875,0.6731286,0.6731286,5.0069265
-0.375,-0.10333744,-0.10333744,0.3965625,0.6878161,0.6878161,4.986817
-0.375,-0.10333744,-0.10333744,0.41125003,0.7025036,0.7025036,4.9363713
-0.375,-0.10333744,-0.10333744,0.4259375,0.7171911,0.7171911,4.932455
-0.375,-0.10333744,-0.10333744,0.44062498,0.7318786,0.7318786,4.8563046
-0.375,-0.10333744,-0.10333744,0.45531252,0.7465661,0.7465661,4.8530293
-0.375,-0.10333744,-0.10333744,0.47,0.7612536,0.7612536,4.84074
-0.3125,-0.040837437,-0.040837437,-0.47,-0.1787464,-0.1787464,3.6724465
-0.3125,-0.040837437,-0.040837437,-0.4553125,-0.1640589,-0.1640589,3.6724465
-0.3125,-0.040837437,-0.040837437,-0.440625,-0.14937142,-0.14937142,3.6724465
-0.3125,-0.040837437,-0.040837437,-0.4259375,-0.1346839,-0.1346839,3.6724465
-0.3125,-0.040837437,-0.040837437,-0.41125,-0.1199964,-0.1199964,3.6724465
-0.3125,-0.040837437,-0.040837437,-0.39656252,-0.10530892,-0.10530892,3.6724465
-0.3125,-0.040837437,-0.040837437,-0.381875,-0.09062141,-0.09062141,3.6724465
-0.3125,-0.040837437,-0.040837437,-0.3671875,-0.0759339,-0.0759339,3.6724465
-0.3125,-0.040837437,-0.040837437,-0.3525,-0.061246395,-0.061246395,3.6724465
-0.3125,-0.040837437,-0.040837437,-0.33781248,-0.046558887,-0.046558887,3.6724465
-0.3125,-0.040837437,-0.040837437,-0.323125,-0.03187141,-0.03187141,3.6724465
-0.3125,-0.040837437,-0.040837437,-0.3084375,-0.0171839,-0.0171839,3.6724465
-0.3125,-0.040837437,-0.040837437,-0.29375,-0.0024963915,-0.0024963915,3.6724465
-0.3125,-0.040837437,-0.040837437,-0.2790625,0.012191087,0.012191087,3.6762543
-0.3125,-0.040837437,-0.040837437,-0.264375,0.026878595,0.026878595,3.7256515
-0.3125,-0.040837437,-0.040837437,-0.2496875,0.041566104,0.041566104,3.7446933
-0.3125,-0.040837437,-0.040837437,-0.235,0.056253597,0.056253597,3.7467725
-0.3125,-0.040837437,-0.040837437,-0.2203125,0.07094109,0.07094109,3.7604465
-0.3125,-0.040837437,-0.040837437,-0.205625,0.0856286,0.0856286,3.7813504
-0.3125,-0.040837437,-0.040837437,-0.19093749,0.10031611,0.10031611,3.7763684
-0.3125,-0.040837437,-0.040837437,-0.17625001,0.115003586,0.115003586,3.780626
-0.3125,-0.040837437,-0.040837437,-0.1615625,0.1296911,0.1296911,3.8205895
-0.3125,-0.040837437,-0.040837437,-0.146875,0.1443786,0.1443786,3.8515055
-0.3125,-0.040837437,-0.040837437,-0.13218749,0.15906611,0.15906611,3.8618934
-0.3125,-0.040837437,-0.040837437,-0.11750001,0.17375359,0.17375359,3.8690207
-0.3125,-0.040837437,-0.040837437,-0.1028125,0.1884411,0.1884411,3.8921149
-0.3125,-0.040837437,-0.040837437,-0.08812499,0.2031286,0.2031286,3.9282699
-0.3125,-0.040837437,-0.040837437,-0.07343751,0.21781608,0.21781608,3.959026
